"ENTITY_ID","GSM_TYPE","GPRS_TYPE","SENT_BYTES","RECEIVED_BYTES","NAME","LATITUDE","LONGITUDE","POSTAL_CODE","DBM"
"797564","UNKNOWN","START","","","GPRS","38,1175138889","-1,792325","30430","-58"
"797206","UNKNOWN","START","","","GPRS","41,26075","2,0022861111","8850","-66"
"798526","UNKNOWN","STOP","0","0","UNKNOWN","39,473925","-6,3728888889","10004","-80"
"798573","UNKNOWN","START","","","GPRS","38,5407888889","-0,168475","3502","-58"
"786462","UNKNOWN","STOP","639","1171","UNKNOWN","40,557875","-3,6172","28703","-104"
"915117","UNKNOWN","START","","","GPRS","36,7445638889","-3,5209111111","18600","-61"
"855070","UNKNOWN","STOP","1130321","3138784","UNKNOWN","39,43485","-0,4684611111","46900","-107"
"857741","UNKNOWN","STOP","12595446","4258704","UNKNOWN","38,9132638889","-1,1907138889","2690","-101"
"816369","UNKNOWN","START","","","GPRS","43,1737388889","-6,5434361111","33800","-55"
"812615","UNKNOWN","START","","","GPRS","41,237725","1,8049888889","8870","-63"
"832737","UNKNOWN","STOP","2907","1360","UNKNOWN","41,2871638889","2,0461888889","8840","-105"
"815209","UNKNOWN","STOP","1687","2385","UNKNOWN","27,93205","-15,39045","35219","-84"
"915073","UNKNOWN","START","","","GPRS","40,45265","-3,474675","28850","-85"
"967848","UNKNOWN","START","","","GPRS","36,7200638889","-4,4224611111","29015","-76"
"1022308","UNKNOWN","STOP","518","722","UNKNOWN","40,6510638889","-4,6839638889","5001","-60"
"1047654","UNKNOWN","STOP","81038","125560","UNKNOWN","38,7863527778","-1,3540277778","2650","-90"
"1046410","UNKNOWN","STOP","1589500","2708508","UNKNOWN","43,3127861111","-1,9543611111","20013","-67"
"1046008","UNKNOWN","START","","","GPRS","40,5765138889","-6,4987944444","37591","-96"
"1046064","UNKNOWN","STOP","1449281","2313424","UNKNOWN","40,53675","-3,6387611111","28100","-67"
"1046124","UNKNOWN","STOP","1476604","2750032","UNKNOWN","40,5332722222","-3,6509666667","28108","-91"
"1109970","UNKNOWN","STOP","0","0","UNKNOWN","41,6457888889","-0,9699361111","50197","-62"
"1206512","UNKNOWN","STOP","10382","15976","UNKNOWN","43,2998611111","-2,8725611111","48170","-103"
"1070438","UNKNOWN","START","","","GPRS","37,8460638889","-0,7803611111","3190","-55"
"799434","UNKNOWN","STOP","0","0","UNKNOWN","36,5102361111","-4,8892","29601","-72"
